is_number,title,description,category,dept,status,reaffirmed,language
IS 4926:2003,Ready-Mixed Concrete — Code of Practice (Second Revision),"Production, transport and quality-control practice for ready-mixed concrete plants.",civil,CED 2,Active,2020,English
IS 15916:2010,Building Design and Erection Using Prefabricated Concrete — Code of Practice,"Design, manufacture and erection guidance for precast concrete building elements.",civil,CED 38,Active,2020,English
IS 12269:2013,"Ordinary Portland Cement, 53 Grade — Specification (First Revision)",Requirements for high strength 53-grade ordinary Portland cement.,civil,CED 2,Active,2021,English
IS 15477:2019,Compact Fluorescent Lamps — Safety Requirements,Safety requirements for single-capped compact fluorescent lamps.,electronics,ETD 25,Active,2021,English
IS 16046 (Part 1):2018,Lithium Ion Cells — Safety Requirements,Safety test requirements for lithium-ion secondary cells used in portable devices.,electronics,ETD 09,Active,2022,English
IS/ISO/IEC 27001:2022,Information Security Management Systems — Requirements,"Requirements for establishing, implementing and improving an information security management system.",electronics,LITD 8,Active,2022,English
IS 13252 (Part 1):2010,Information Technology Equipment — Safety: General Requirements,Safety requirements for IT equipment including computers and peripherals.,electronics,ETD 20,Active,2021,English
IS 616:2020,Automatic Electric Toasters — Specification (Third Revision),Performance and safety requirements for domestic electric toasters.,electrical,ETD 32,Active,2021,English
IS 4905:2015,Random Sampling and Randomization Methods,Statistical methods for random sampling used across BIS product certification schemes.,chemical,MSD 3,Active,2020,English
IS 14625:1998,Packaged Natural Mineral Water — Specification,Physicochemical and microbiological requirements for packaged natural mineral water.,food,FAD 14,Active,2019,English
IS 1179:2017,Equipment for Eye and Face Protection During Welding — Specification,Safety filter and shield requirements for welder eye and face protection.,mechanical,MED 15,Active,2021,English
IS 12407:1988,Specification for Safety Glass,Impact resistance and optical clarity requirements for toughened and laminated safety glass.,mechanical,CHD 21,Active,2019,English
IS 1554 (Part 2):1988,PVC Insulated (Heavy Duty) Electric Cables — Working Voltages 3.3kV to 11kV,Construction requirements for medium-voltage PVC-insulated power cables.,electrical,ETD 09,Active,2020,English
IS 14990:2001,Retro-reflective Materials for Traffic Control Devices — Specification,Reflectivity and durability requirements for road sign and marking materials.,civil,CED 48,Active,2019,English
IS 1077:1992,Common Burnt Clay Building Bricks — Specification (Fifth Revision),Dimensional tolerance and strength classes for common clay building bricks.,civil,CED 6,Active,2020,English
IS 15658:2021,Precast Concrete Blocks for Paving — Specification (First Revision),Requirements for interlocking precast concrete paver blocks.,civil,CED 53,Active,2021,English
IS 456 (SP 34),Handbook on Concrete Reinforcement and Detailing,Explanatory handbook supporting the detailing clauses of IS 456.,civil,CED 2,Active,2019,English
IS 1200 (Part 26):1988,"Method of Measurement — Painting, Polishing and Varnishing",Measurement rules for painting and finishing works in civil billing.,civil,CED 44,Active,2019,English
IS 15683:2006,Steel for General Structural Purposes — Weldable Fine-Grain Structural Steels,Fine-grain structural steel grades intended for welded fabrication.,metallurgy,MTD 4,Active,2020,English
IS 6461 (Part 12):2024,Cement Concrete — Glossary of Terms: Miscellaneous Terms (First Revision),Standard vocabulary of miscellaneous terms used across the cement-concrete series.,civil,CED 2,Active,2024,English
IS 14458 (Part 9):2025,Retaining Wall for Hill Areas — RCC Crib Wall Construction Guidelines,Construction guidance for reinforced cement concrete crib walls in hill terrain.,civil,CED 56,Active,2025,English
IS 302 (Part 2/Sec 3):2008,Safety of Household Electric Irons — Particular Requirements,Particular safety requirements applicable to household electric irons.,electrical,ETD 32,Active,2021,English
IS 4671:1984,Expanded Polystyrene for Thermal Insulation — Specification,Density and thermal conductivity requirements for EPS insulation boards.,chemical,PCD 12,Active,2019,English
IS 12894:2002,Fly Ash-Lime Bricks — Specification,"Requirements for bricks manufactured from fly ash, lime and sand/stone dust.",civil,CED 6,Active,2020,English
IS 8112:2013,"Ordinary Portland Cement, 43 Grade — Specification (First Revision)",Requirements for 43-grade ordinary Portland cement widely used in general construction.,civil,CED 2,Active,2021,English
IS 1791:1985,General Requirements for Batch Type Concrete Mixers,Mechanical and performance requirements for site batch concrete mixers.,mechanical,CED 2,Active,2018,English
IS 14994:2001,Wire Fabric for General Engineering Purposes — Specification,Dimensional and strength requirements for welded steel wire fabric.,metallurgy,MTD 24,Active,2018,English
IS 1786:2008,High Strength Deformed Steel Bars for Concrete Reinforcement — Specification (Third Revision),Mechanical property requirements for TMT and CRS reinforcement bars.,metallurgy,MTD 4,Active,2021,English
IS 4151:2015,Protective Helmets for Two Wheeler Riders — Specification (Fourth Revision),"Safety and performance requirements, including impact absorption and retention-system strength, for helmets worn by two-wheeler riders; certification is mandatory under a 2020 government order.",mechanical,CED 22,Active,2021,English/Hindi
IS 3196 (Part 1):2013,"Welded Low Carbon Steel Cylinders for LPG — Specification, Part 1 (Sixth Revision)","Design, material, welding and testing requirements, including hydrostatic and burst tests, for household LPG gas cylinders above 5 litres up to 250 litres capacity.",mechanical,MED 16,Active,2024,English
IS 17613:2021,LPG Gas Cylinder (Aluminium Alloy) — Specification,Requirements for welded aluminium-alloy LPG cylinders as a lighter alternative to the standard steel cylinder.,mechanical,MED 16,Active,2021,English
IS 8737:2017,Valve Fittings for LPG Cylinders Above 5 Litres — Specification (Second Revision),Design and testing requirements for the shut-off valve fitted to household and commercial LPG cylinders.,mechanical,MED 16,Active,2020,English
IS 9798:2013,"LPG Pressure Regulators for Domestic, Commercial and Industrial Use — Specification",Safety and performance requirements for the regulator that controls gas flow from an LPG cylinder to a stove or appliance.,mechanical,MED 16,Active,2019,English
IS 4246:2002,Domestic LPG Stoves — Specification,"Construction, safety and performance requirements for metal-bodied domestic gas stoves that run on LPG.",mechanical,MED 16,Active,2023,English
IS 14899:2014,LPG Containers for Automotive Use — Specification (First Revision),Requirements for the LPG cylinders fitted to vehicles that have been converted to run on auto-LPG.,mechanical,MED 16,Active,2019,English
IS 2347:2017,Domestic Pressure Cooker — Specification (Sixth Revision),"Safety and construction requirements, including the pressure-release safety valve, for household pressure cookers sold in India; BIS certification is mandatory.",mechanical,MED 3,Active,2022,English/Hindi
IS 17870:2022,Commercial Pressure Cooker — Specification,"Requirements for larger pressure cookers used in hotels, canteens and catering, covering capacities above 24 litres up to 100 litres.",mechanical,MED 3,Active,2022,English
IS 17869:2022,Low Pressure Steam Cooker — Specification,"Requirements for steam-based cookers used for rice, idli and similar dishes, as distinct from pressure cookers.",mechanical,MED 3,Active,2022,English
IS 9873 (Part 1):2019,"Safety of Toys, Part 1: Mechanical and Physical Properties (Fourth Revision)","Prevents choking, cutting and entrapment hazards in toys by limiting small parts, sharp edges and gaps; the core standard behind mandatory toy certification in India.",mechanical,PCD 24,Active,2025,English
IS 9873 (Part 2):2017,"Safety of Toys, Part 2: Flammability",Limits how easily toy materials can catch fire or continue burning once ignited.,mechanical,PCD 24,Active,2022,English
IS 9873 (Part 3):2017,"Safety of Toys, Part 3: Migration of Certain Elements","Sets safe limits on how much lead, cadmium, mercury and other toxic elements can leach out of toy materials.",chemical,PCD 24,Active,2020,English
IS 9873 (Part 4):2017,"Safety of Toys, Part 4: Swings, Slides and Similar Activity Toys",Structural and stability requirements for outdoor and indoor play equipment such as swings and slides.,mechanical,PCD 24,Active,2022,English
IS 9873 (Part 7):2017,"Safety of Toys, Part 7: Finger Paints","Safety requirements for finger paints supplied with toy craft kits, covering toxicity and skin contact.",chemical,PCD 24,Active,2022,English
IS 9873 (Part 9):2017,"Safety of Toys, Part 9: Certain Phthalate Esters in Toys",Restricts phthalate plasticisers in soft plastic toys and childcare articles that a child could put in their mouth.,chemical,PCD 24,Active,2022,English
IS 15644:2006,Safety of Electric Toys — Specification,"Electrical safety requirements, covering shock and overheating risks, for battery- or mains-powered toys.",electrical,ETD 32,Active,2019,English
IS 14543:2016,Packaged Drinking Water (Other Than Packaged Natural Mineral Water) — Specification (Second Revision),Physicochemical and microbiological purity requirements for the packaged/bottled drinking water sold across India.,food,FAD 14,Active,2021,English/Hindi
IS 1417:2016,"Gold and Gold Alloys, Jewellery/Artefacts — Fineness and Marking — Specification",Defines the permitted purity grades (14/18/20/22/23/24 carat) and hallmark that gold jewellery must carry; mandatory hallmarking is built on this standard.,metallurgy,MTD 24,Active,2021,English
IS 2112:2014,Hallmarking of Silver Jewellery/Artefacts — Specification,Defines the permitted silver alloy grades and hallmark for silver jewellery and artefacts.,metallurgy,MTD 24,Active,2020,English
IS 15820:2009,General Requirements for Assaying and Hallmarking Centres,Operating and competency requirements a testing centre must meet to become BIS-recognised for hallmarking jewellery.,metallurgy,MTD 24,Active,2019,English
IS 3854:1997,Switches for Household and Similar Purposes — Specification (Reaffirmed),Safety and performance requirements for the electrical switches used in home wiring.,electrical,ETD 13,Active,2020,English
